Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
17/6/2025,144.12,269.52,624.64,195.64,478.04,316.35,697.23,175.95,969.18,135.69,213.9,3388.3706,214.82,94.25,977.72,60,24,54.73,597.53,10.42
16/6/2025,144.69,270.36,627.85,198.42,479.14,329.13,702.12,176.77,982.1,138.26,215.68,3382.9275,216.1,94.29,984.36,61.9,24.4,54.9,602.68,10.62
13/6/2025,141.97,264.95,613.54,196.45,474.96,325.31,682.87,174.67,971.82,136.41,211.1,3432.1865,212.1,94.44,990.21,60.53,24.54,54.81,597,10.43
12/6/2025,145,268.24,625.11,199.2,478.87,319.11,693.36,175.7,988.25,140.79,215.43,3384.0449,213.24,94.83,1002.71,62.8,24.84,55.67,603.75,10.53
11/6/2025,142.83,268.15,624.17,198.78,472.62,326.43,694.14,177.35,993.3,141.39,214.1,3353.2603,213.2,95.8,996.78,63.11,24.48,55.37,601.36,10.66
10/6/2025,143.96,268.6,614.87,202.67,470.92,326.09,702.4,178.6,991.9,142.96,212.46,3322.1704,217.61,97.32,1007.27,63.87,24.3,55.68,603.08,10.6
09/6/2025,142.63,266.74,613.52,201.45,472.75,308.58,694.06,176.09,988.84,139.98,207,3327.58,216.98,97.45,1006.18,61.91,23.97,55.26,599.68,10.34
06/6/2025,141.72,265.73,614,203.92,470.38,295.14,697.71,173.68,989.05,140.45,205.18,3309.6743,213.57,97.47,1014.94,62.8,23.35,55.31,599.14,10.26
05/6/2025,139.99,261.95,605.88,200.63,467.68,284.7,684.62,168.21,985.46,137.76,203.34,3353.1167,207.91,97.96,1010.81,62.67,23.12,55.24,593.05,10.1
04/6/2025,141.92,264.22,599.21,202.82,463.87,332.05,687.95,168.05,988.97,138.76,202.4,3375.42,207.23,99.35,1051.69,62.77,23.39,55.62,595.93,10.24
03/6/2025,141.22,266.27,603.83,203.27,462.97,344.27,666.85,166.18,982.13,139.01,197.61,3351.9775,205.71,99.98,1055.59,62.37,23.35,55.79,596.09,10.19
02/6/2025,137.38,264.66,598.72,201.7,461.97,342.69,670.9,169.03,978.07,138.81,194.84,3379.0601,206.65,99.77,1056.85,61.57,23.46,56.16,592.71,9.98
30/5/2025,135.13,264,600.45,200.85,460.36,346.46,647.49,171.74,979.89,138.76,193.32,3289.1499,205.01,98.72,1040.18,60.59,23.49,56.16,589.39,10.38
29/5/2025,139.19,264.37,604.86,199.95,458.68,358.43,645.05,171.86,976.32,138.88,197.15,3315.8972,205.7,97.1,1008.74,61.44,23.45,56.12,590.05,10.22
28/5/2025,134.81,263.49,608.44,200.42,457.36,356.9,643.58,172.36,971.28,138.41,196.14,3289.31,204.72,97.24,1013.14,61.78,23.18,55.36,587.73,10.17
27/5/2025,135.5,265.29,615.73,200.21,460.69,362.89,642.32,172.9,981.32,139.3,197.68,3299.5574,206.02,97.58,1017.79,62.83,23.61,55.82,591.15,10.31
23/5/2025,131.29,260.71,598.54,195.27,450.18,339.34,627.06,168.47,963.18,136.12,191.98,3356.9939,200.99,96.34,1008.5,60.02,23.32,55.55,579.11,10.36
22/5/2025,132.83,260.67,598.23,201.36,454.86,341.04,636.57,170.87,969.9,136.93,196.19,3294.0984,203.1,95.93,1018.13,61.32,23.04,55.48,583.09,10.44
21/5/2025,131.8,261.04,593.46,202.09,452.57,334.62,635.5,168.56,972.83,137.49,191.76,3313.9365,201.12,96.43,1025.3,59.98,23.04,56.31,582.86,10.48
